Abendschein, Hartmut
Adloff, Marion
Aemmer, Ursfelix
Aeschlimann, Anne Marie
Alville
Ammann, Ulrich
Ammon, Fritz
Amrein, Nicole
Amstutz, Patrick
Amstutz, Siegfried
Anaconda, Endo
Andres, Daniel
Ansorge, Gisèle
Arnd, Ulrich
Arni, Bendicht
Arx, Bernhard von
Arx, Katharina von
Arx-Haller, Barbara von
Arzille, Juliette d'
Aste, Franco
Bachmann, Nicole
Bachmann, Ueli
Badertscher, Kurt
Bähler, Adolf
Balmer, Dres
Balmer, Emil
Balmer, Hans Rudolf
Balmer, Ruth
Balzli, Alice
Balzli, Ernst
Bärfuss, Lukas
Bärtschi, Jakob
Bärtschi, Judith
Bärtschi-Ulmann, Erika
Baumann, Franz
Baumgartner, Elisabeth
Baumgartner, Ueli
Beaud, Roger
Beck, Alfred
Beck, Renat
Beer, Werner Rudolf
Beer, Willy
Begert, Roland
Béguelin, Jean
Béguelin, Roland
Berger, Jeanclaude
Bergmann, Ernst
Berner, Urs
Berra Schwendimann, Donata
Betts, Peter John
Beuchat, François
Beuret-Frantz, Joseph
Beutler, Maja
Beyeler, Helene
Beyeler-Haslebacher, Fritz
Bianchi, Maya
Biancone, Tobias
Bichsel, Peter
Bichsel, Therese
Bieri, Madeleine
Bieri, Peter
Bind, Rudolf
Binggeli, Valentin
Binz, Erna
Binz, Oskar
Bischof, Walter Gort
Bischoff, Lars
Bitzi, Trudi
Blaser, Nick
Blatter, Rolf
Bloesch, Hans
Bloetzer, Hans Baptist
Boder, Francis
Bohren, Rudolf
Bolzli, Marina
Bonstetten, Karl Viktor von
Born, Ernst
Boulanger, Grégoire
Boulanger, Mousse
Boulanger, Pierre
Bracher, Hans
Bräker, Ulrich
Brand, Christine
Brand, Olga
Brändli, Frieda
Bratschi, Peter
Brawand, Samuel
Brechbühl, Beat
Brechbühl, Fritz
Britsch, Mirjam
Brönnimann, Marianne
Brüggemann, Dänu
Brühlmann, Sepp
Brun-Schmid, Henriette
Buchli, Hanns
Buchs, Arnaud
Buhler, Christiane
Buhler, Jean
Bula, Werner
Burger, Hans Rudolf
Buri, Rosmarie
Burkhalter, Gertrud
Bürki, Jakob
Bürki, Peter
Bürki, Roland
Burren, Ernst
Burri, Peter
